Topic ID: D1410_TRAIN | Citance Number: 10 | Citation Text: abundant solid cervical mir-24 up-regulated mirnas cancer cancers | Reference Offset: [457-696', 5101-5216', 5602-5791'] | Reference Text: species mirna sequencing mirnas abundant rna mir-21 library mir-24 small caski subset lesions demonstrate cervical significantly mirnas cancers total clones species mirna mirnas cloned abundant mir-21 mir-24 | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1404_EVAL | Citance Number: 2 | Citation Text: response cellular involves radiation p53 reduced cdc6 ionizing | Reference Offset: [5943-6080', 918-1028', 11378-11564'] | Reference Text: response radiation p53 pathway dna activated induced damage ionizing factor transcription response cellular p53 arrest genotoxic apoptosis stress suppressor tumor activation growth stabilization resulted higher damage line dose activate response 20 p53 down-regulation dna cdc6 required cancer | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1426_EVAL | Citance Number: 14 | Citation Text: subset receptor mediates cx3cr1 binding chemotaxis | Reference Offset: [759-919', 6075-6271', 5713-5845'] | Reference Text: migratory functions fractalkine receptor identify mediates seven-transmembrane show high-affinity lymphocytes experiments fractalkine receptor respond binding monocytes experiments fractalkine receptor binding soluble | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1411_EVAL | Citance Number: 18 | Citation Text: sufficient p53 oncogenic overcome stress published p14arf | Reference Offset: [10186-10310', 18995-19163', 22573-22780'] | Reference Text: sufficient p53 loss oncogenic primary overcome ras-induced stress contrast single p16ink4a loss prb oncogenic overcome ras-induced stress p14arf pathway activates induce stress rasv12 response p53 oncogenic suggesting manner p14arf | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1424_EVAL | Citance Number: 8 | Citation Text: cytoskeletal cd2ap cytoplasm remodeling localized | Reference Offset: [774-937', 939-1154', 3090-3185'] | Reference Text: process demonstrate cytoskeletal cd2 ligand adhesion molecule engagement clustering cytoskeletal cd2 dependent domain interaction cytoplasmic required clustering critical area cytoskeletal polarity contact formation | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1405_EVAL | Citance Number: 9 | Citation Text: screen complex cyld scored genes sirna l929 hit necrosis knockdown required prevented formation | Reference Offset: [815-1123', 4029-4204', 5204-5317'] | Reference Text: screen apoptosis set genes identify sirna rip1 necroptosis subset kinase involved and/or downstream act required genome-wide regulators regulate screen genes functional sirna mechanism molecular necroptosis carrying required explored genome-wide necroptosis l929 scored genes required | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1416_TRAIN | Citance Number: 9 | Citation Text: complex baf53 baf | Reference Offset: [17245-17438', 22609-22688', 24247-24479'] | Reference Text: cellular total complex mammalian baf53 antibodies determine baf components brg1 complex presence association baf53 baf requires complex test assembly baf53 antibodies determine baf possibility brg1 transfected mediate vector | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1420_TRAIN | Citance Number: 12 | Citation Text: kras acts agents mutation lethal kill recent gata2 mutant knockdown specifically | Reference Offset: [62289-62576', 3713-3872', 7126-7189'] | Reference Text: kras screen mutations lethal synthetic receptors recent lung earlier adenocarcinoma receptor mutant required multiple cancer specifically kras initial screens lethal synthetic mutant regulators shrna mitotic specifically kras nsclc gata2 require mutant survival specifically | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1414_EVAL | Citance Number: 7 | Citation Text: characterized numerous metastasis tumor rhoa mirnas surprisingly downstream functionally invasion effectors relevant regulators | Reference Offset: [27501-27621', 588-816', 1201-1487'] | Reference Text: itga5 vitro rdx mir-31 functionally effectors rhoa relevant malignant fzd3 repress genes numerous metastasis tumor steps invasion-metastasis potentially micrornas cascade target capacity multiple regulate site development attributable metastatic metastasis inhibition distant tumor steps influences colonization phenotypes initial primary invasion local survival extravasation specifically | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1424_EVAL | Citance Number: 5 | Citation Text: cd2 demonstrated enhanced contact leads signaling recently tcr clustering | Reference Offset: [4823-4945', 8749-8867', 9386-9533'] | Reference Text: serve recruit surface cd2 tcr contact clustering center cd2 demonstrated accumulation contact engagement basis cd2 domain determine cytoplasmic required molecular contact formation clustering | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1409_EVAL | Citance Number: 13 | Citation Text: alteration pathway pik3ca inpp4b frequency considered implicated regulatory pi3k phosphatases recently regulation subunits alterations pten | Reference Offset: [21716-22005', 25132-25392', 4481-4583'] | Reference Text: insulin play tumor inpp4b effects indicating enhanced response signaling pi3k suppressors phosphatases akt roles downstream knockdown activation pten result pathway inpp4b knocking findings pi3k senescence increase consistent knockdown pten model signaling roles downstream regulation class inpp4b indicating pten | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1425_EVAL | Citance Number: 11 | Citation Text: amplification mutation prevent occurs kinase patient relapse domain binding due fusion bcr-abl inhibitor | Reference Offset: [24084-24262', 1607-1748', 9967-10117'] | Reference Text: amplification evidence mutation kinase patient relapse domain bcr-abl based note amplification patients mutation resistance due bcr-abl clinical inhibitor small clones kinase independent time patient treatment imatinib domain mutation bcr-abl | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1412_EVAL | Citance Number: 7 | Citation Text: rtk ptpn12 range epithelial observations led mammary increase knockdown phosphorylation | Reference Offset: [20990-21077', 983-1066', 4629-4747'] | Reference Text: her2 ptpn12 led increase depletion phosphorylation egfr ptpn12 proliferation suppresses mammary epithelial transformation leads ptpn12 loss mammary epithelial activation transformation malignant | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1409_EVAL | Citance Number: 4 | Citation Text: rapidly phosphatases produces possibility inpp4b | Reference Offset: [6085-6199', 5940-6083', 8011-8152'] | Reference Text: systems epithelial possibility inpp4b knockdown retroviral investigate signaling pi3k suppressor possibility inpp4b tumor affecting vivo observations rapidly expressing directed inpp4b shrna pten | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1413_EVAL | Citance Number: 8 | Citation Text: libraries model targeting genes uncover change functional issue date rna suppressor tumor interference large | Reference Offset: [6605-6821', 15583-15681', 31490-31754'] | Reference Text: screen tumor-suppressor neoplastic genes inhibition ras assays transformation vitro oncogenic rna combination library interference prostate result evidence suppressor pitx1 tumor relevant cancer screen model identify evidence tumor transformation prostate suppressors fibroblasts susceptibility relevant cancer | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1420_EVAL | Citance Number: 10 | Citation Text: region lymphoblastic promoter block chromosome stage acute resulting initially patients receptor leukemia cases pediatric adult places transcriptional t-all 30% translocation coding | Reference Offset: [3004-3148', 5563-5761', 1806-2013'] | Reference Text: lymphoblastic cases thymocytes pediatric leukemia adult disease malignant acute subset t-all cases strong receptor activated places subtypes lymphoblastic lineage line pathogenesis molecular research impact leukemias acute remain undefined largely leukemia | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1409_EVAL | Citance Number: 16 | Citation Text: knocking led reduced resulted suppressor overexpression epithelial suggesting inpp4b tumor growth | Reference Offset: [1023-1105', 1429-1694', 11791-11879'] | Reference Text: xenograft experiments reduced resulted overexpression inpp4b tumor growth fraction lower majority suppressor finally tumor inpp4b cancers breast basal-like patient ovarian correlated suggesting locus survival find model mouse xenograft reduced overexpression tumor inpp4b growth | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1405_EVAL | Citance Number: 13 | Citation Text: immune death genes revealed innate necrotic screens infections viral | Reference Offset: [571-813', 1125-1340', 4206-4477'] | Reference Text: termed activates death dependent rip1 receptors type apoptotic conditions necroptosis stimulation kinase necrotic systems cellular immune sensitivity genes innate show network subsets mediating necroptosis extensive signaling regulated cellular suggests pathway apoptosis innate potential disease necroptosis critical regulatory genetic necrotic profile | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1421_EVAL | Citance Number: 1 | Citation Text: plasma budding interestingly class particle hiv-1 event membrane recently vps topology utilize case viral formation | Reference Offset: [1266-1473', 3472-3647', 24653-24912'] | Reference Text: actively plasma gag assembly hiv-1 membrane enveloped viral cellular membranes budding virus create discrete event membrane enveloped viral p6 demonstrate pathway gag budding block particle hiv-1 experiments domain require components consistent viral release | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1412_EVAL | Citance Number: 13 | Citation Text: ptpn12 development mutations events impact potentially tyrosine involved dna phosphatase fusion driver cancer | Reference Offset: [884-981', 1956-2297', 4479-4627'] | Reference Text: tyrosine screen ptpn12 genetic identify suppressor phosphatase tumor ptpn12 suppresses inhibitors egfr tyrosine kinase oncogenic treated inactivated multiple frequently her2 tumorigenesis metastasis transformation kinases breast inhibits phosphatase negative cancer tyrosine screen ptpn12 suppressors functional phosphatase tumor | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1424_EVAL | Citance Number: 3 | Citation Text: cd2 linked | Reference Offset: [12901-13076', 43996-44218', 774-937'] | Reference Text: processes suggests residues cd2 cytoplasmic t-cell 20 domain required linked clustering sensor residues chip peptide cd2 linked process demonstrate cytoskeletal cd2 ligand adhesion molecule engagement clustering | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1406_TRAIN | Citance Number: 14 | Citation Text: sustained presence tumorigenicity proliferation oncogenic major signals | Reference Offset: [4958-5368', 15034-15195', 16440-16509'] | Reference Text: tissue sustained programmed invasion essential collectively death metastasis potential malignant signals alterations cancer growth mass proliferation tumor components carcinoma growth signals proliferation block mechanisms signals distinct | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1411_EVAL | Citance Number: 5 | Citation Text: reports p16ink4a remain senescence extended | Reference Offset: [21249-21466', 320-411', 742-903'] | Reference Text: resistant normal mutation ras-induced p53 p16ink4a fibroblasts report senescence premature p14arf p53 p16ink4a prb inhibit growth p14arf suppression contrast cellular p53 p16ink4a proliferation loss affect transformation growth | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1410_TRAIN | Citance Number: 9 | Citation Text: development metastatic papillary response breast prostate implicated mir-146b and/or mir-146a thyroid pancreatic ovarian cervical proliferative binding cancer carcinoma | Reference Offset: [18627-18941', 22218-22290', 21822-22147'] | Reference Text: decreased papillary appears prostate level thyroid mir-146a lines lymphoma cancer carcinoma tissues mir-146b thyroid highly papillary carcinoma mir-223 targeting development apoptosis chronic mutation mir-155 implicated mir-146a leukemia cervical lymphocytic cancer regulate tissues | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1405_EVAL | Citance Number: 4 | Citation Text: member intriguingly apoptosis death factor necroptosis bcl-2 proapoptotic family suggesting required members | Reference Offset: [1342-1444', 27683-27912', 36489-36603'] | Reference Text: member necroptosis bcl-2 family interestingly bh3-only required member importantly necroptosis bcl-2 family induced required necroptosis member bcl-2 family induced required | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1413_EVAL | Citance Number: 1 | Citation Text: short designed previous oncogenes genes primary genetically suppressor tumor transformation | Reference Offset: [30639-30789', 1891-2111', 2451-2823'] | Reference Text: requirement deregulation fibroblasts primary genetically ras sole transformation system essential development vitro neoplastic tumorigenesis primary alterations transformation telomerase model catalytic anchorage-independent inhibition transformation vectors h-rasv12 subunit p53 p16ink4a bj oncogenic primary recently combination overexpression fibroblast antigen small sv40 shrna growth | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1401_TRAIN | Citance Number: 14 | Citation Text: oncogenes suppressors demonstrated tumor act mirnas | Reference Offset: [5015-5142', 935-1177', 1316-1547'] | Reference Text: screen system model oncogenes genetic identify tumorigenesis functional act mirnas cellular screen harbor proliferation tumorigenesis ras mirnas transformation mir-373 p53 oncogenes oncogenic primary wild-type active mir-372 provide development pathway evidence germ potential tumors mirnas testicular p53 presence oncogenes wild-type tumorigenic growth | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1411_TRAIN | Citance Number: 5 | Citation Text: previous aspects analyses molecular | Reference Offset: [1371-1574', 2644-2779', 6034-6162'] | Reference Text: mir-223 nfi-a crucial pathway lineage plays granulopoiesis molecular mediating point repression systems differentiation molecular mechanisms formation point findings mir-223 nfi-a crucial circuitry granulopoiesis molecular | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1420_EVAL | Citance Number: 8 | Citation Text: subtypes classification profiling potential demonstrated clinically relevant recent | Reference Offset: [29059-29135', 37239-37389', 1503-1627'] | Reference Text: t-all subgroups profiling clinically t-all identify subgroups profiling relevant leukemia pathways profiles relevant transformation | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1403_EVAL | Citance Number: 4 | Citation Text: analyzed primer nm | Reference Offset: [11336-11551', 11144-11334', 11704-11968'] | Reference Text: percentage analyzed measured line oncogene clones screening analyzed western quantitative positive ras individual establish oncoprotein ras clear oncogenes analyzed examined decrease elevated | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1428_EVAL | Citance Number: 8 | Citation Text: rgl family domains ralgef binding ras ralgds rgl2/rlf members | Reference Offset: [3161-3441', 6809-6935', 8284-8576'] | Reference Text: rgl family ralgef domain binding effectors ras rgl2/rlf ralgds members residues involved catalytic domain binding factor part ras ralgds exchange northern mouse pattern development absence family ralgef ralgds members | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1428_EVAL | Citance Number: 7 | Citation Text: ablation development tumors h-ras ralgds reduced induced critically depends rac animal | Reference Offset: [11993-12188', 26721-26861', 528-640'] | Reference Text: mice development reduced reflected wild-type resistance tumor papillomas animal mice deficient p53 ablation tumors incidence ralgds affect mouse development ras-induced plays show ralgds substantial | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1429_EVAL | Citance Number: 13 | Citation Text: k-ras outer membrane detected mitochondrial | Reference Offset: [4423-4576', 36352-36535', 747-1019'] | Reference Text: surprisingly k-ras membranes outer membrane bcl-xl phosphorylated included mitochondrial k-ras basis phosphorylated affinity mitochondrial presence outer membrane reflect region promotes k-ras membranes association bcl-xl show interacts rapid mitochondria polybasic kinase outer membrane pm intracellular phosphorylation | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1409_EVAL | Citance Number: 15 | Citation Text: previous genes suppressor class tumor suggested cancer | Reference Offset: [1429-1694', 1717-1978', 5940-6083'] | Reference Text: fraction lower majority suppressor finally tumor inpp4b cancers breast basal-like patient ovarian correlated suggesting locus survival find cellular aberrant proliferation progression apoptosis genes suppressor epithelial tumor tumors resulting oncogenes alterations generation multiple signaling pi3k suppressor possibility inpp4b tumor affecting vivo observations | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1415_EVAL | Citance Number: 2 | Citation Text: conformation mirnas close contrast fact factors pattern chromatin bound transcription | Reference Offset: [13557-13802', 1243-1436', 1591-1872'] | Reference Text: occupied set genes protein-coding promoters mirnas 20 factors mammalian bound key transcription factors set genes mirna promoters mirnas es find key transcription cellular contributes model reveal differentiation normal circuitry mirna mirnas factors regulatory promote program es self-renewal targets key transcription | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1410_EVAL | Citance Number: 12 | Citation Text: sites termed mirna regions mrnas target binding silencing inhibit dead untranslated end | Reference Offset: [1248-1543', 833-984', 1125-1246'] | Reference Text: sites demonstrate germ conserved mirnas associating mrnas target binding primordial zebrafish dead end rna-binding mammals mrnas sequence seed inhibit nucleotides untranslated mirnas regions serve docking mrnas conserved mirna regions | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1407_TRAIN | Citance Number: 4 | Citation Text: transiently lats2 centrosomes exogenous localized | Reference Offset: [909-1046', 27361-27668', 461-559'] | Reference Text: centrosomes transiently lats2 cycle aurora-a interacts lats2 reports aurora-a previous interphase mitotic localized centrosomes early mitosis lats2 lats1 apparatus phosphorylated mitotic localized | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1419_EVAL | Citance Number: 8 | Citation Text: cycle g1 required phase rb retinoblastoma | Reference Offset: [8850-8995', 16295-16466', 17559-17701'] | Reference Text: cycle loss phosphorylated phase primarily rb transiently cycle events late state phase phosphorylation early rb cycle typical late target phase occurs rb | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1408_TRAIN | Citance Number: 1 | Citation Text: predict genes target mirna targetscan | Reference Offset: [6961-7319', 21274-21513', 632-862'] | Reference Text: identify developed conserved targetscan mirna mirnas algorithm predict sequence called multiple duplex targets interactions mouse defined set seed conserved targetscan mirna rat algorithm predict hypothesis targets region sites genes conserved mirna mirnas regulatory mrnas predict complementary target pairing | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1403_EVAL | Citance Number: 19 | Citation Text: prs-gfp pmscv-gfp-st | Reference Offset: [391-540', 542-668', 670-777'] | Reference Text: mutations activating thyroid ras cancer carcinoma thyroid differentiated phenotype aggressive cancer likewise loss oncogenes thyroid differentiation frtl-5 viral ras rat | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1404_TRAIN | Citance Number: 6 | Citation Text: cyclin complex machinery degraded stress anaphase-promoting rxxl proteolysis motif response d1 sequence located pest proteasome active binding case part | Reference Offset: [19253-19446', 14414-14490', 16307-16434'] | Reference Text: cyclin result degradation genotoxic stress rxxl motif sufficient response d1 mediate context cyclin d1 degradation genotoxic stress destruction rxxl requires motif cyclin d1 amino sequence g1 cyclins rxxl motif comparison | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1403_TRAIN | Citance Number: 12 | Citation Text: cycle mutations ruley absence suppressor tumor ras variety induces arrest cooperating oncogenic ectopic senescence overexpression types | Reference Offset: [5146-5319', 11984-12174', 15677-15795'] | Reference Text: cellular demonstrate ras induces p53 arrest oncogenic senescence involving characterized suppressor induction tumor ras p53 arrest oncogenic induced g1 specifically arrest oncogenic identical senescence induced ras | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1413_TRAIN | Citance Number: 3 | Citation Text: mutations exclusive redundant mechanism effects large-scale acute showed time mutually genomic tet2 leukemia involving functionally suggesting types | Reference Offset: [48354-48534', 1349-1571', 27892-27957'] | Reference Text: mutations exclusive redundant lesions mutually tet2 genetically idh1/2 aml suggesting large mutations exclusive epigenetic defects mutants enzyme mutually loss-of-function tet2 idh1/2 aml mutually mutations exclusive tet2 idh1/2 | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1419_TRAIN | Citance Number: 9 | Citation Text: microarrays recently global profile cancers | Reference Offset: [809-1015', 1212-1299', 4906-5249'] | Reference Text: microarrays genes pediatric profiling determine leukemic enhance analyze patients pattern unique based profile mll rearrangements patients recently leukemia similarly poor outcome subtype hematopoietic stem | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1411_EVAL | Citance Number: 15 | Citation Text: cycle senescent investigate p53 arrest induced senescence required depletion shrna | Reference Offset: [20286-20689', 534-623', 2686-2872'] | Reference Text: result overcome derivatives ras showed observations response arrest bj fibroblasts premature previous expressing ras-induced phenotype indicating defective arrested p53 prb senescence binding mutant inactivation p53 prb show required transformation mouse subsequent upregulated embryonic ras response arrest oncogenic primary fibroblasts required growth | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1426_EVAL | Citance Number: 2 | Citation Text: expected sensitivity cx3cr1 abolished chemotaxis triggered | Reference Offset: [9505-9711', 9428-9503', 11370-11541'] | Reference Text: v28 migration transfected fractalkine vector soluble chemotaxis fractalkine induction chemotaxis soluble transduction abolished signal indicating | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1407_TRAIN | Citance Number: 6 | Citation Text: lats2 contributes aurora mitotic size centrosomes entry increase capacity recruiting | Reference Offset: [27361-27668', 461-559', 909-1046'] | Reference Text: lats2 reports aurora-a previous interphase mitotic localized centrosomes early mitosis lats2 lats1 apparatus phosphorylated mitotic localized centrosomes transiently lats2 cycle aurora-a interacts | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1416_TRAIN | Citance Number: 13 | Citation Text: mammals complexes actin similarly state stimulation activate receptor suggesting remodeling required molecule chromatin large transcription | Reference Offset: [40884-41242', 4304-4577', 6101-6336'] | Reference Text: complex complexes targeting observation baf stimulation 10 time receptor increase antigen required synthesis chromatin activation stably transcription structure complexes clear factors vitro binding remodeling chromatin vivo major ability transcription complexes lymphocytes association rapid occurs receptor require regulated remodeling antigen chromatin engagement | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1401_TRAIN | Citance Number: 12 | Citation Text: | Reference Offset: [547-643', 645-748', 750-933'] | Reference Text: conserved rnas endogenous small mechanisms regulate functionally mirnas functions expressing majority developed barcode mirnas vectors cloned dna genetic library screens | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1404_EVAL | Citance Number: 11 | Citation Text: protects licensing degradation origins apc late cdc6 g1 phosphorylation 12 | Reference Offset: [4100-4235', 17461-17605', 1780-1897'] | Reference Text: mediated recognition apc late g1 required activation substrate degradation ligase destruction rxxl n-terminal mediate apc cdc6 g1 motifs early process licensing replication dna origins cdc6 plays key major | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1423_EVAL | Citance Number: 5 | Citation Text: bcl-2 findings proapoptotic bax family activated tbid bh3-only bim puma bind | Reference Offset: [397-552', 4033-4174', 28392-28543'] | Reference Text: bak kill mitochondria bcl-2 proapoptotic family bax require release members cytochrome subset family bik molecules bh3-only bim puma bad bid include bak bcl-xl preferential interaction assays antiapoptotic prior bcl-2 proapoptotic bax binding bim intact | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1420_TRAIN | Citance Number: 1 | Citation Text: drugs therapeutic issue potential synthetic lethal finally demonstrating recent models approved kras-driven gata2 clinical | Reference Offset: [6830-7115', 62289-62576', 65307-65555'] | Reference Text: causing kras loss therapeutic inhibitors inhibition strategy established finally clinically combined suppression nsclc gata2 pathways mutant kras screen mutations lethal synthetic receptors recent lung earlier adenocarcinoma receptor mutant required multiple cancer specifically serve functions therapeutic intriguing determine finally factor kinases kinase regulatory factors gata2 regulated phosphorylation targets transcription | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1420_EVAL | Citance Number: 21 | Citation Text: t-all obtained cases global affymetrix cryopreserved lymphoblast 39 samples | Reference Offset: [11969-12186', 2015-2335', 5763-6077'] | Reference Text: sufficient microarrays analyze t-all patterns test rna global hypothesis 39 samples aberrant methods obtained genes rt-pcr disease rearrangements transforming dna event clinical hypothesis central key activation transcription support absence factor samples analyze t-all combination microarray chromosomal reverse cases pediatric pcr translocations locus-specific samples transcriptase analyze t-all oncogene quantitative acting hypothesis | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1417_EVAL | Citance Number: 6 | Citation Text: induced nanog epiblast stage escs represent | Reference Offset: [23468-23606', 31135-31226', 31468-31554'] | Reference Text: requirement essential initial maintenance pluripotency demonstrated nanog stage low nanog stage key fate functions crucial nanog stage fate | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1426_EVAL | Citance Number: 22 | Citation Text: sites chemokine receptors express accumulation variety remain leading largely infection nk large | Reference Offset: [1444-1587', 3033-3169', 6273-6536'] | Reference Text: sites rapidly lymphocytes mature leukocytes infection tissues chemokine transmembrane leukocytes receptors date sites single lymphocytes revealed class receptors 30 pm binding monocytes 50 | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1401_EVAL | Citance Number: 7 | Citation Text: ros complexes form iii dismutase mitochondrial respiratory superoxide chain hydrogen initial generated sod2 peroxide | Reference Offset: [35227-35420', 8869-8995', 34768-34887'] | Reference Text: complexes resulted demonstrated iii level respiratory chain components sites ros superoxide pathways iii production major complex respiratory component chain mutation iii mutant | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1426_EVAL | Citance Number: 8 | Citation Text: chemokine expressing specificity leukocytes domain receptors n-terminal | Reference Offset: [609-757', 3033-3169', 37770-37989'] | Reference Text: migration chemokine transmembrane fractalkine leukocytes stalk mucin domain adhesion molecule induces chemokine transmembrane leukocytes receptors date chemokine expressing capable fractalkine receptor mucin domain cognate adhesion consistent linked inducing | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1429_EVAL | Citance Number: 10 | Citation Text: serve plasma endomembranes pathway benefit therapeutic trafficking related additional membrane undergo retrograde specifically | Reference Offset: [33603-33823', 611-745', 2012-2218'] | Reference Text: involves trafficking intermediate demonstrating ras membrane pm retrograde golgi polybasic functions k-ras plasma membrane sequence region k-ras plasma targeting unique motif requires polybasic membrane | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1418_EVAL | Citance Number: 18 | Citation Text: proliferation resistant inhibitors agents domains mutation kinase time approved designed resistance clinical trials clones gatekeeper promising t315i called bcr-abl bind suppress mutated | Reference Offset: [11669-11888', 21295-21574', 2966-3266'] | Reference Text: assay status inhibitors tyrosine kinase bcr-abl clinical phosphorylation trials screen compound single resistant ap24534 subsequent mutation kinase confirmed domain resistance bcr-abl mutant nm profile suggests treatment mutation potential abl clinically second-line clear present kinase patient identification imatinib domain active resistance bcr-abl inhibitor mutant therapy | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1422_EVAL | Citance Number: 10 | Citation Text: staining fixed | Reference Offset: [12094-12182', 38534-38666', 38289-38410'] | Reference Text: pml structure nuclear staining treated prepared fixed cultured fixed | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1412_EVAL | Citance Number: 14 | Citation Text: result understand pathway set inhibition egfr network include findings genetic activated alterations | Reference Offset: [16655-16969', 22943-23101', 35085-35360'] | Reference Text: rtk proliferation network egfr signaling component pathways survival central cancer her2 suppressed ptpn12 inhibition mek transformation egfr suggests her2 amplification ptpn12 model loss pathway tumorigenesis events functional genetic operate rtks consistent | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1410_TRAIN | Citance Number: 11 | Citation Text: breast reports mir-126 subsequent cervical downregulated oncogene cancer targeted showed | Reference Offset: [1338-1652', 7905-7989', 9687-10279'] | Reference Text: normal mirna mir-155 mirnas downregulation tissues mir-126 mir-145 mir-143 upregulation northern mir-146a cervical combination analyses significantly cancer cervical mirna lines cancer profile tissues showed normal signal showed abundant mir-21 tissues population mir-145 mir-143 000 cervical lines low cancer based | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1409_TRAIN | Citance Number: 3 | Citation Text: recognized loss prb play suppressor repression thought tumor cancers retinoblastoma | Reference Offset: [11659-11752', 37072-37258', 423-576'] | Reference Text: loss disruption tumor types occurs retinoblastoma rb systems model single individual genes resulted inhibition suppressor tumor cancers arrest oncogenes growth p53 suppressors tumor disrupted factor cancer regulators transcription retinoblastoma | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1419_TRAIN | Citance Number: 14 | Citation Text: subtypes newly classifiers cases pediatric lineage assigned showed leading genetic subtype accuracy | Reference Offset: [7855-8044', 11884-12034', 14713-14824'] | Reference Text: subtypes cases assigned collection leukemias heterogeneous profile distinct t-all clusters cases lineage subtype low subtypes figure cases genetic b-all | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1423_EVAL | Citance Number: 9 | Citation Text: direct result apoptosis death sensitizes stimuli free level bik consistent members | Reference Offset: [1720-1888', 2033-2226', 3386-3632'] | Reference Text: activating death domains bh3 antiapoptotic selected proapoptotic initiate pockets peptides members subcellular result death induce signals activate mitochondria caspase effector release multiple activation cytochrome membranes death stimuli variety mitochondrial response inactive outer bax membrane located 2000 | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1419_TRAIN | Citance Number: 4 | Citation Text: real analyze subsequently test generated insights specifically | Reference Offset: [809-1015', 1301-1435', 5944-6313'] | Reference Text: microarrays genes pediatric profiling determine leukemic enhance analyze patients pattern genes subgroups leukemia insights provided signatures microarrays single genes profiling leukemic determine 12 patients alizadeh utilized 1999 pediatric analyze prognostic approaches 2000 | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1402_EVAL | Citance Number: 8 | Citation Text: breast genetic screens oncogene amplified overexpressed survival cancer frequently cancers | Reference Offset: [1404-1570', 5867-6036', 19539-19725'] | Reference Text: reveal patient-derived tumors structural kinases breast lines analyses overexpressed amplified cancer ikbke acts percentage identify tumors breast kinase akt downstream oncogene amplified approaches ikbke substantial fraction tumors observations breast kinase transforming primary lines overexpressed amplified cancer substantial ikbke | Discourse Facet: | Run ID: BLLIP 1
